business_id,business_name,owner_name,email,phone,address,city,state,country,zipcode,industry,founded_year,employee_count,revenue,website,status,rating,registration_no,created_at,updated_at
10000,Jackson Ltd,Donald Smith,nathanchen@ortiz.net,+1-750-558-0170x299,"PSC 5403, Box 3252, APO AP 15525",South Haleyfurt,South Dakota,Guadeloupe,42209,Manufacturing,2023,1132,925627.4,www.jacksonltd.com,Closed,1.62,Ye-60179714,2023-06-01,2024-01-11
10001,Robbins-Green,Dominic Thompson,lmitchell@murray.com,456-688-9984x486,"62634 Burns Landing, Joannborough, DE 79746",North Donaldchester,Iowa,Andorra,65610,Finance,1973,4789,45097715.9,www.robbins-green.com,Active,3.75,ll-60561712,2023-07-05,2024-03-02
10002,Robinson-Armstrong,Edward Ryan,tcolon@stanton.com,+1-124-510-5292x9324,"7266 Jennifer Stream, Danielmouth, DC 74042",South Georgeshire,Rhode Island,Christmas Island,78365,Real Estate,2022,4277,8376991.94,www.robinson-armstrong.com,Closed,2.59,sU-02351520,2023-02-06,2025-06-15
10003,"Mcgee, Gould and Payne",Christine Rios,paige33@nguyen-chavez.info,(057)066-6088x90353,"93464 Payne Burgs, North Caitlin, KS 89443",Davenportborough,Texas,Heard Island and McDonald Islands,93831,Logistics,2022,3740,97983791.15,www.mcgeegouldandpayne.com,Active,3.16,Ky-89784689,2024-05-03,2025-03-26
10004,"Simon, Rodriguez and Williams",David Payne,greenchristopher@walsh-washington.info,696-928-0708,"801 Carrillo Grove Apt. 343, West Kristinshire, IA 20705",East Chelseychester,Tennessee,Andorra,81669,Education,1979,4143,18913376.48,www.simonrodriguezandwilliams.com,Closed,2.4,AL-56938175,2020-09-09,2021-09-22
10005,"Turner, Christensen and Gonzalez",Mary Tucker,montgomerykristi@cohen-norman.com,001-904-999-8691x890,"52014 Mark Brooks, North Stephenmouth, NY 20532",South Brettside,Delaware,Portugal,19533,Education,1954,924,82759842.13,www.turnerchristensenandgonzalez.com,Active,4.24,ts-64698181,2022-12-17,2023-08-15
10006,"Fletcher, Martin and Lin",Crystal Hernandez,melissa42@holland.net,+1-440-891-1195x464,"5972 Linda Springs Suite 041, New Rebecca, DE 72392",Samanthaville,Maryland,Honduras,75599,Real Estate,1954,2194,61963910.32,www.fletchermartinandlin.com,Pending,3.88,NU-24100840,2021-02-21,2021-03-19
10007,Jones-Vargas,Elizabeth Wilson,davisapril@martinez-hendrix.com,405-742-7977x21928,"80176 Alexandra Radial, Chenport, OH 67724",Lesliemouth,Kentucky,Suriname,29374,Finance,2000,1126,38694831.74,www.jones-vargas.com,Pending,1.28,Fv-46320540,2021-04-01,2023-02-06
10008,Oconnor-Cisneros,Jennifer Savage,glennrogers@bennett.net,752-349-8349x863,"053 Watts Walk, Greenview, NM 74823",North Amanda,Ohio,Norway,41928,Real Estate,2001,4515,58988391.23,www.oconnor-cisneros.com,Closed,1.38,Dh-24110483,2023-10-03,2023-11-11
10009,Lin and Sons,Samuel Nelson,landerson@burns.biz,022-633-6342x0783,"11903 Edwards Corner, Berryview, TX 18623",New Gabriel,Massachusetts,Botswana,90309,Healthcare,2005,1141,84149435.06,www.linandsons.com,Closed,2.71,xJ-97343418,2024-07-25,2025-08-19
