business_id,business_name,owner_name,email,phone,address,city,state,country,zipcode,industry,founded_year,employee_count,revenue,website,status,rating,registration_no,created_at,updated_at
3334,"Warner, Reyes and Padilla",Sarah Hester,steven07@arias.com,995-526-0550x261,"89743 Kimberly Springs Apt. 656, New Courtneybury, WI 52186",New Jodibury,Oklahoma,South Georgia and the South Sandwich Islands,75575,Education,1994,2737,70276875.67,www.warnerreyesandpadilla.com,Active,2.84,lD-69535146,2020-08-30,2021-10-27
3335,Thompson Inc,Lisa Herrera,rfox@ward-mccoy.net,704.234.2530x249,"17970 Adams Forest, Laurentown, NH 15995",North Audrey,Arkansas,Niger,71300,Logistics,1999,2924,35533502.56,www.thompsoninc.com,Pending,1.01,iy-17493901,2024-10-23,2025-08-19
3336,Allen-Miller,Evelyn Barnes,jacobsonstephanie@cohen.com,936.425.4485,"87245 Tami Roads Suite 410, South Timothy, NJ 05289",New Katherineview,South Dakota,French Southern Territories,12047,Entertainment,1950,1509,82385276.8,www.allen-miller.com,Inactive,1.77,gp-31056925,2023-08-06,2025-08-19
3337,Burke-Serrano,Erin Cook,sarahmartinez@soto.com,+1-773-191-4247,"5468 Sandra Parks Apt. 215, Austinstad, CA 81899",East Jeffrey,West Virginia,Comoros,59193,Healthcare,1982,4498,74799565.04,www.burke-serrano.com,Closed,2.72,Uv-45830905,2023-12-26,2024-10-01
3338,Watson-Carpenter,Cathy Roberts,tracy91@schwartz.org,+1-560-168-7828x403,"0970 Moore Mission Suite 654, Alexandertown, NV 69035",Ashleyport,Vermont,Costa Rica,66838,Hospitality,2024,1025,12730410.14,www.watson-carpenter.com,Inactive,3.78,GX-04752883,2024-10-29,2024-11-08
3339,Wilkinson PLC,Carolyn Giles,kimberly98@bullock.org,+1-124-435-1887x16681,"8261 Rodriguez Rapid, Mooreberg, WY 03795",Maldonadoland,Oklahoma,Palau,85995,Hospitality,1956,3505,52459355.46,www.wilkinsonplc.com,Active,1.85,lv-43998372,2023-10-17,2024-02-25
3340,Butler-Singh,Haley Wilson PhD,nicolerivera@lawrence.com,449-038-4533x655,"317 Amanda Meadows Suite 610, East Michaelland, MA 55186",Martinside,Utah,Venezuela,95942,Education,1988,907,56414460.45,www.butler-singh.com,Active,4.53,by-39901169,2023-03-13,2025-08-19
3341,Mendoza Inc,Victor Taylor,wilkersonbrittney@cook.biz,508-749-3625x356,"665 Karen Manor, Mercadoview, SD 99889",Donaldfurt,Arkansas,Saint Martin,40395,Real Estate,1965,4148,76852437.53,www.mendozainc.com,Pending,3.57,eu-87814356,2021-07-12,2024-01-28
3342,"Everett, James and Cowan",Jennifer Miranda,agonzalez@smith.com,(011)055-8216x86289,"8231 Robert Green, Goodmanview, HI 18435",West Davidstad,Montana,Andorra,54134,Retail,1965,4457,31666027.39,www.everettjamesandcowan.com,Closed,1.66,of-19658803,2021-01-31,2021-11-30
3343,Robinson-Case,John Jennings,ledavid@ramsey.com,001-892-419-6385x6618,"31994 Christine Vista Suite 304, Lake Justin, UT 23975",North Peter,Delaware,Egypt,17333,Real Estate,2011,1753,69029106.93,www.robinson-case.com,Active,2.27,dW-45526098,2021-04-28,2021-07-19
3344,Nichols-Hooper,Joanne Smith,melaniebanks@perez.com,+1-455-860-5732x3972,"451 Daniel Locks Suite 662, Davidmouth, NE 10671",Wallmouth,New Mexico,Isle of Man,94176,Healthcare,2024,1021,38100000.4,www.nichols-hooper.com,Pending,3.24,lz-93193066,2021-09-04,2023-05-24
3345,Alexander Group,Robert Levine,thomasmary@campos.com,362.067.4213x2833,"97286 Valerie Vista, Port Stacey, CT 38553",East Albertfurt,Nebraska,India,70691,Healthcare,2018,4796,65116563.37,www.alexandergroup.com,Pending,4.02,Oe-40902265,2025-03-02,2025-08-19
3346,"Lee, Young and Gutierrez",Mathew Norris,michelle96@morton.com,001-192-502-9093,"726 Timothy Glen Apt. 615, Brianville, WA 18273",Cindymouth,New Mexico,Cyprus,71747,Finance,1968,808,16938377.34,www.leeyoungandgutierrez.com,Closed,3.83,nl-89418705,2021-06-02,2022-09-05
3347,Dunn-Brown,Anthony Delacruz,anthony62@lopez.com,(161)469-2549,"327 Dakota Place, Martinview, NM 12645",Saundersview,New Hampshire,Afghanistan,73670,Finance,1980,405,92616490.82,www.dunn-brown.com,Inactive,1.59,fK-02425246,2025-06-17,2025-08-19
3348,"Lynch, Miles and Rocha",Kristen Washington,davisscott@morris-anderson.com,+1-178-778-6763x1334,"129 Rodriguez Dale, Andrewberg, LA 20963",North Wendy,North Dakota,Turks and Caicos Islands,60404,Healthcare,1989,1836,66569389.2,www.lynchmilesandrocha.com,Pending,3.67,Nl-48060910,2023-10-21,2024-06-12
3349,Bradley-Caldwell,Katelyn Farley,townsendvalerie@rodriguez-wilson.com,+1-849-824-7762x274,"0435 Nancy Place, Lake Angelaport, DE 29312",Danielport,West Virginia,Samoa,32457,Manufacturing,2001,3266,96614350.69,www.bradley-caldwell.com,Pending,1.21,gs-96172348,2022-11-18,2024-05-21
3350,Blair-Montes,Johnathan Keith,david23@clark.biz,001-597-458-8924x9479,"4288 Lewis Wells, East Michaelmouth, HI 33230",West Crystalbury,Arkansas,Russian Federation,29752,Hospitality,1960,3295,9360041.0,www.blair-montes.com,Inactive,2.69,oM-88849090,2021-02-25,2023-02-02
3351,"Daniels, Martinez and Hampton",Brianna Johnson,vanessa68@henry-ramirez.biz,091-670-8015x250,"3099 Rogers Garden, New Nicholasborough, HI 07877",South Heatherport,Kansas,Guinea-Bissau,95578,Finance,1984,3232,28808102.26,www.danielsmartinezandhampton.com,Closed,4.05,dL-16643155,2024-11-25,2025-08-19
3352,Warren-Knox,Joel Gaines,rcoleman@leach.com,479.527.0412x20500,"31417 Aaron Heights Suite 668, Wilsonton, TX 15284",South Pamelaport,Nevada,Ecuador,68179,Technology,1989,4140,9776008.2,www.warren-knox.com,Active,4.02,eM-35786067,2022-04-23,2024-04-08
3353,Cunningham-Sims,Susan Berg,nyoung@crawford.com,+1-388-367-8951x53950,"129 Donald Trail Apt. 065, West Nicole, NJ 93910",Elizabethberg,Maine,British Virgin Islands,16851,Healthcare,1994,3818,3908584.03,www.cunningham-sims.com,Pending,1.07,bn-75866403,2025-04-23,2025-08-19
3354,Stewart-Charles,Nichole Becker,raymondtaylor@long-carson.com,3925143325,"907 Dillon Turnpike Suite 101, Hickschester, CT 15358",Carrollfurt,Delaware,Costa Rica,13576,Retail,2014,3271,26927200.53,www.stewart-charles.com,Inactive,3.52,lD-83081099,2022-08-08,2025-03-30
3355,Hamilton Group,Charles Cisneros,rebeccanorris@gutierrez.org,711.545.9593x4027,"6349 Lawson Trace Apt. 102, Port Benjamin, DC 23753",Zamoraborough,Florida,Trinidad and Tobago,93581,Technology,1956,2329,97894819.74,www.hamiltongroup.com,Closed,1.06,VN-75800103,2021-01-30,2022-05-15
