business_id,business_name,owner_name,email,phone,address,city,state,country,zipcode,industry,founded_year,employee_count,revenue,website,status,rating,registration_no,created_at,updated_at
13333,Simmons-Delgado,April Gardner,bryan03@french.com,193-683-4454x41535,"0208 Wilson Bridge Suite 522, Patrickview, TX 87251",Valdezborough,Indiana,Saint Lucia,36569,Education,2001,700,13890993.11,www.simmons-delgado.com,Pending,2.24,Wn-39222182,2025-06-22,2025-08-19
13334,Moody-Alvarez,Katherine Evans,catherine09@sosa.org,+1-031-223-1453,"3113 Ferguson Spurs, Kennethtown, NC 71419",Staceyview,California,Bahrain,40703,Healthcare,1991,1925,69984704.74,www.moody-alvarez.com,Pending,4.93,Ma-24423875,2023-01-03,2023-01-17
13335,Patel Inc,Martha Hanna,npatton@moore.com,231.136.9667x240,"73824 Rocha Fields, Smithstad, ME 23736",Ronaldfurt,Mississippi,Wallis and Futuna,02531,Hospitality,1964,535,39622236.39,www.patelinc.com,Pending,2.89,Pe-39058656,2021-11-06,2022-06-05
13336,Hudson-Rubio,Antonio Galloway,maciasjared@scott.com,+1-700-219-6569x273,"37739 Rogers Dale, Tinamouth, CO 41957",Reidmouth,Wisconsin,Israel,95992,Real Estate,2005,532,45789416.95,www.hudson-rubio.com,Pending,4.11,io-86198090,2021-10-27,2024-02-15
13337,Garcia-Santos,Abigail Perez,michaellarson@ramirez-lozano.biz,6300245559,"780 Cobb Springs Suite 065, Lake Meganport, TX 57263",Parsonsport,Nevada,Northern Mariana Islands,16831,Finance,1950,4818,12750876.48,www.garcia-santos.com,Pending,2.88,Ki-12764828,2021-10-08,2023-04-04
13338,Ruiz PLC,Kara Graves,kingjanice@walker.com,(737)040-9998,"42055 Rich Roads Suite 563, Lake Jacob, AR 77608",Buckville,Delaware,French Guiana,41662,Retail,1954,3170,73672227.95,www.ruizplc.com,Inactive,3.38,EM-46566680,2021-11-01,2023-03-19
13339,"Morse, Wright and Stephens",Debra Hudson,morrisbrandon@white.biz,+1-107-519-3264,"972 Rios Keys, Brandthaven, MN 26722",East Emilyside,Colorado,Belgium,51295,Education,2025,3568,4300580.96,www.morsewrightandstephens.com,Pending,1.45,eX-13519702,2021-09-04,2024-04-27
13340,"Trujillo, Griffith and Jordan",Hailey Clay,robert45@patel-white.com,+1-389-475-8826x3260,"54135 Jeffrey Throughway, Elizabethland, CO 84658",Port Peggy,Delaware,Bulgaria,37015,Real Estate,1993,3376,48449348.07,www.trujillogriffithandjordan.com,Active,2.71,Ek-64225233,2022-12-20,2023-08-07
13341,"Torres, Cox and Soto",Michelle Moran,nielsenmichael@wilkerson-harrison.com,+1-769-464-2635x769,"56833 Krista Heights Apt. 429, South Janice, CA 17344",Powellberg,Colorado,French Southern Territories,43807,Finance,1998,2435,6455581.46,www.torrescoxandsoto.com,Active,2.23,nM-57810431,2021-01-21,2022-08-22
13342,"Wood, Espinoza and Norman",Brandon Stevens,zgarcia@howard.com,(367)085-1308x58571,"2665 Lowery Villages Suite 516, East Mark, AL 63080",Joshuaton,Oklahoma,Micronesia,69118,Retail,1962,1509,77601762.21,www.woodespinozaandnorman.com,Inactive,1.53,wY-46054539,2022-12-26,2025-01-18
13343,Mclean PLC,Morgan Castillo,vfleming@martin.com,+1-515-854-5647x7185,"000 Taylor Vista Suite 579, Fishertown, VT 41902",Thomasfurt,Michigan,Norway,70759,Finance,2016,3587,59320070.52,www.mcleanplc.com,Closed,4.49,Ti-74776558,2023-06-22,2024-02-02
13344,"Rodriguez, Clark and Jensen",Timothy Woods,jonathan34@holmes.org,+1-246-820-1978x73275,"301 Ellison Lakes, Lake Elizabethmouth, FL 12564",Wardberg,Virginia,Syrian Arab Republic,21390,Retail,2009,4256,91932737.9,www.rodriguezclarkandjensen.com,Active,3.5,Zq-34577223,2021-11-05,2024-01-06
13345,Williams PLC,Jane Hawkins,rvasquez@gutierrez-harris.net,(266)012-9062x2665,"949 Bradley Points Suite 744, East Jayside, SD 44147",Stacyberg,Washington,Azerbaijan,58160,Entertainment,2003,4265,80676230.61,www.williamsplc.com,Closed,3.32,fA-37233629,2024-07-14,2025-08-19
